Field_name,Field_locator_name,Field_locator_value
otp_verify,xpath,//XCUIElementTypeOther[1]/XCUIElementTypeOther/XCUIElementTypeOther[4]
plus_one,xpath,//XCUIElementTypeOther[4]/XCUIElementTypeStaticText
login,xpath,//XCUIElementTypeOther[7]/XCUIElementTypeButton
login_phone_number,xpath,//XCUIElementTypeTextField
login_password,xpath,//XCUIElementTypeSecureTextField
hamburger,xpath,//XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypeOther/XCUIElementTypeOther
logout,xpath,//XCUIElementTypeOther[11]/XCUIElementTypeButton/XCUIElementTypeOther
forgot_password_link,xpath,//XCUIElementTypeOther[6]//XCUIElementTypeStaticText
login_invalid_msg,xpath,//XCUIElementTypeOther[3]/XCUIElementTypeStaticText
login_valid_msg,xpath,//XCUIElementTypeApplication[1]/XCUIElementTypeWindow[1]/XCUIElementTypeOther[2]/XCUIElementTypeOther[2]/XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypePopover[1]/XCUIElementTypeOther[2]/XCUIElementTypeOther[1]/XCUIElementTypeStaticText[1]
cancel,xpath,//XCUIElementTypeOther[1]/XCUIElementTypeButton
login_link,xpath,//XCUIElementTypeOther[11]//XCUIElementTypeStaticText[2]
your_profile,xpath,//XCUIElementTypeOther[2]/XCUIElementTypeButton/XCUIElementTypeOther
your_profile_title,xpath,//XCUIElementTypeOther[2]/XCUIElementTypeOther[3]/XCUIElementTypeOther
back_button,xpath,//XCUIElementTypeOther[2]/XCUIElementTypeOther[2]/XCUIElementTypeOther/XCUIElementTypeButton
header_rating,xpath,//XCUIElementTypeOther[3]/XCUIElementTypeButton/XCUIElementTypeOther
header_rating_title,xpath,//XCUIElementTypeOther[2]/XCUIElementTypeOther[2]/XCUIElementTypeOther[2]/XCUIElementTypeOther
header_alert,xpath,//XCUIElementTypeOther[4]/XCUIElementTypeButton/XCUIElementTypeOther
header_alert_title,xpath,//XCUIElementTypeOther[2]/XCUIElementTypeOther[2]/XCUIElementTypeOther[2]/XCUIElementTypeOther
header_FAQ,xpath,//XCUIElementTypeOther[7]/XCUIElementTypeButton/XCUIElementTypeOther
header_FAQ_title,xpath,//XCUIElementTypeScrollView/XCUIElementTypeOther/XCUIElementTypeStaticText
header_contact_us,xpath,//XCUIElementTypeOther[8]/XCUIElementTypeButton/XCUIElementTypeOther
header_contact_us_title,xpath,//XCUIElementTypeOther[1]/XCUIElementTypeOther[2]/XCUIElementTypeStaticText
contactus_firstname,xpath,//XCUIElementTypeOther[1]/XCUIElementTypeOther[5]/XCUIElementTypeOther[1]/XCUIElementTypeTextField
contactus_lastname,xpath,//XCUIElementTypeOther[2]/XCUIElementTypeTextField
contactus_email,xpath,//XCUIElementTypeOther[3]/XCUIElementTypeTextField
contactus_feedback,xpath,//XCUIElementTypeTextView/XCUIElementTypeOther/XCUIElementTypeStaticText
contactus_succcess,xpath,//XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypeOther[5]/XCUIElementTypeStaticText
contactus_submit,xpath,//XCUIElementTypeOther[6]/XCUIElementTypeButton
header_privacy_policy,xpath,//XCUIElementTypeOther[9]/XCUIElementTypeButton/XCUIElementTypeOther
header_privacy_policy_title,xpath,//XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypeOther[2]/XCUIElementTypeOther/XCUIElementTypeStaticText[1]
header_privacy_ok,xpath,//XCUIElementTypeApplication[1]/XCUIElementTypeWindow[1]/XCUIElementTypeOther[2]/XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypeOther[2]/XCUIElementTypeOther[1]/XCUIElementTypeOther[2]
header_back,xpath,//XCUIElementTypeScrollView/XCUIElementTypeOther[1]/XCUIElementTypeOther/XCUIElementTypeOther[1]
header_terms_conditions,xpath,//XCUIElementTypeOther[10]/XCUIElementTypeButton/XCUIElementTypeOther
header_terms_conditions_title,xpath,//XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypeOther[2]/XCUIElementTypeOther/XCUIElementTypeStaticText[1]
header_terms_conditions_ok,xpath,//XCUIElementTypeOther[2]/XCUIElementTypeOther/XCUIElementTypeOther[2]
header_feedback,xpath,//XCUIElementTypeOther[5]/XCUIElementTypeButton/XCUIElementTypeOther
header_feedback_title,xpath,//XCUIElementTypeOther/XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypeOther[1]/XCUIElementTypeOther[2]/XCUIElementTypeStaticText
your_feedback,xpath,//XCUIElementTypeOther[4]/XCUIElementTypeTextField
feedback_details,xpath,//XCUIElementTypeOther[1]/XCUIElementTypeTextField
feedback_email,xpath,//XCUIElementTypeOther[11]/XCUIElementTypeTextField
feedback_share,xpath,//XCUIElementTypeOther[13]/XCUIElementTypeButton
feedback_thankyou,xpath,//XCUIElementTypeOther[3]/XCUIElementTypeStaticText[1]
hamburger_back,xpath,//XCUIElementTypeScrollView/XCUIElementTypeOther[1]/XCUIElementTypeOther/XCUIElementTypeOther[1]
